koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_prad,koi_dor,koi_max_mult_ev,koi_count,koi_fwm_stat_sig,koi_dicco_msky,koi_disposition
0.0,0.0,0.0,0.0,8.370829272713168e-05,0.014858981993690363,0.0004384922246642106,0.16666666666666666,0.002,0.0022573363431151244,1.0
0.0,0.0,0.0,0.0,0.0001055953233943175,0.04799893133182771,0.0002668917199268688,0.16666666666666666,0.003,0.004401805869074492,1.0
0.0,1.0,0.0,0.0,0.001281735234509934,0.0014182325277123384,0.010975577200720758,0.0,0.0,0.0032618510158013542,0.0
0.0,0.0,0.0,0.0,0.00010252345944102827,0.0048339756578364215,0.0005353836711278663,0.0,0.733,0.0011286681715575622,1.0
0.0,1.0,1.0,0.0,0.001502525456152598,0.0008701655561756162,0.0008013879494022881,0.0,0.0,0.10079006772009029,0.0
0.0,0.0,0.0,0.0,0.0002181023406835358,0.022374615635264553,0.002675084694024672,0.33333333333333337,0.063,0.0004966139954853273,1.0
0.0,0.0,0.0,0.0,0.0004976419604328563,0.004614062224952154,0.13259875480292557,0.0,0.0,0.003386004514672686,1.0
0.0,0.0,0.0,0.0,0.0005571593245278353,0.004079291183362734,0.035268572586873784,0.0,0.0,0.00022573363431151243,1.0
0.0,0.0,0.0,0.0,4.147016336940469e-05,0.006168562429072768,0.0007015561508296132,0.16666666666666666,0.009000000000000001,0.00327313769751693,1.0
0.0,1.0,0.0,0.0,0.005776256181166247,0.012324640416880462,0.01275033120975199,0.0,0.895,0.00014672686230248307,0.0
0.0,1.0,0.0,0.0,0.0002726279258544198,0.0050518291579119525,0.00644022865817061,0.0,0.048,0.00010158013544018058,0.0
0.0,1.0,0.0,0.0,0.0018895803142670417,0.018924540291661514,0.04448026455298927,0.16666666666666666,0.0,6.772009029345373e-05,0.0
0.0,1.0,0.0,0.0,0.0003018106334106675,0.008142352593080875,0.005166080113815719,0.0,0.0,0.00045146726862302486,0.0
0.0,0.0,0.0,0.0,9.177193560451595e-05,0.012262218210555096,0.0013211772259749408,0.0,0.037000000000000005,0.0006659142212189616,1.0
0.0,0.0,0.0,0.0,0.00010636328938263982,0.017667981278331878,0.0009289662297039329,0.0,0.77,0.0012415349887133183,1.0
0.0,1.0,1.0,1.0,5.7597449124173186e-05,0.0030093745669459437,0.0005636851810025492,0.0,0.0,0.027539503386004516,0.0
0.0,0.0,0.0,0.0,9.484379955780518e-05,0.007987233410362338,0.0008496402624416445,0.33333333333333337,0.002,0.00045146726862302486,1.0
0.0,0.0,0.0,0.0,6.220524505410704e-05,0.006556828552416551,0.00032106553721213203,0.33333333333333337,0.46399999999999997,0.004740406320541761,1.0
0.0,0.0,0.0,0.0,4.684592528766086e-05,0.01027094982877589,5.4833062001155656e-05,0.33333333333333337,0.013000000000000001,0.0020316027088036117,1.0
0.0,0.0,0.0,0.0,0.00011020311932425137,0.014727895360407094,0.0003578343868744783,0.5,0.10300000000000001,0.0012415349887133183,1.0
0.0,0.0,0.0,0.0,0.00010367540842351173,0.007574310515520033,0.00035255166576107116,0.0,0.998,0.0024830699774266367,1.0
0.0,0.0,0.0,0.0,8.524422470377631e-05,0.006013755357385858,0.0009401277874284689,0.0,0.0,0.000744920993227991,1.0
0.0,0.0,1.0,0.0,0.0001708724324017138,0.0022871496397614474,0.0025358472105881506,0.0,0.0,0.014582392776523703,0.0
0.0,1.0,1.0,0.0,0.0005398800897905833,0.052580721276109646,0.0018441545691115287,0.0,0.0,0.014740406320541763,0.0
